epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.21821,1.66044,3.42648,1.383,0.02524,0.91379,0.04421,0.02106,1.60431,3.06484,1.39596,6e-05,6e-05,6e-05
2,9.53434,1.66268,3.26655,1.38885,0.02762,1,0.07975,0.03716,1.44295,2.99155,1.25809,0.000138614,0.000138614,0.000138614
3,13.3091,1.54455,2.61358,1.22659,0.02762,1,0.08033,0.03873,1.4603,2.93028,1.26777,0.000215644,0.000215644,0.000215644
4,16.8809,1.52203,1.89593,1.23637,0.02714,0.98276,0.2082,0.08585,1.39721,2.75297,1.22343,0.00029109,0.00029109,0.00029109
5,20.8547,1.53282,1.18879,1.24034,0.02714,0.98276,0.97085,0.54663,1.43235,2.32613,1.19218,0.000364952,0.000364952,0.000364952
6,25.2276,1.51468,1.10528,1.17858,0.96251,0.44283,0.97375,0.55677,1.41868,2.10445,1.14994,0.00043723,0.00043723,0.00043723
7,29.0615,1.47894,1.18739,1.17483,0.98174,0.92714,0.98127,0.54812,1.49411,1.65211,1.19589,0.000507924,0.000507924,0.000507924
8,32.6115,1.50663,1.11307,1.25967,0.99024,1,0.995,0.55572,1.48798,1.51922,1.20016,0.000577034,0.000577034,0.000577034
9,36.633,1.46794,1.08242,1.20454,0.98515,1,0.995,0.56247,1.51031,1.47687,1.2047,0.00064456,0.00064456,0.00064456
10,40.6189,1.44842,1.01529,1.21025,0.994,1,0.995,0.55595,1.48538,1.50686,1.1953,0.000710502,0.000710502,0.000710502
11,44.5482,1.45992,1.00002,1.15383,0.99097,1,0.995,0.55049,1.46726,1.45163,1.17773,0.00077486,0.00077486,0.00077486
12,48.4884,1.4692,1.00735,1.19246,0.99484,1,0.995,0.5386,1.51857,1.2247,1.21327,0.000837634,0.000837634,0.000837634
13,52.5198,1.48167,0.93045,1.17745,1,0.99889,0.995,0.55084,1.49952,0.96614,1.22726,0.000898824,0.000898824,0.000898824
14,56.8971,1.48114,0.91676,1.18344,0.99906,1,0.995,0.54174,1.57533,0.86309,1.29794,0.00095843,0.00095843,0.00095843
15,60.5939,1.5331,0.95725,1.27291,0.99827,1,0.995,0.54851,1.59663,0.81603,1.29416,0.00101645,0.00101645,0.00101645
16,64.3463,1.49946,0.98906,1.26097,0.99827,1,0.995,0.54851,1.59663,0.81603,1.29416,0.00107289,0.00107289,0.00107289
17,68.02,1.50132,0.92456,1.25565,0.96846,0.94828,0.98166,0.53314,1.63974,0.90703,1.26504,0.00112774,0.00112774,0.00112774
18,72.0682,1.46379,0.95248,1.21433,0.98165,0.92238,0.99202,0.54972,1.58117,1.0651,1.23457,0.00118101,0.00118101,0.00118101
19,76.544,1.54657,0.96548,1.23276,0.98165,0.92238,0.99202,0.54972,1.58117,1.0651,1.23457,0.0012327,0.0012327,0.0012327
20,80.3972,1.41128,0.85557,1.21622,0.98224,0.95363,0.99364,0.56539,1.4994,1.08351,1.20265,0.0012828,0.0012828,0.0012828
21,84.1913,1.45102,0.87144,1.23097,0.96629,0.98844,0.9938,0.55263,1.54994,1.06448,1.23708,0.00133132,0.00133132,0.00133132
22,87.9272,1.42848,0.85201,1.15444,0.96629,0.98844,0.9938,0.55263,1.54994,1.06448,1.23708,0.00137825,0.00137825,0.00137825
23,91.6352,1.4265,0.8423,1.22025,0.98288,0.98981,0.99483,0.55214,1.50056,0.89443,1.19525,0.0014236,0.0014236,0.0014236
